Sr,Intake,Season,Year,Country,FinalUniversity,Degree,Major
1,Spring 2019,Spring,2019,USA,"University of Texas, Arlington",Master of Engineering,Civil Engineering
2,Spring 2019,Spring,2019,USA,Roosevelt University,Masters,Business Administration
3,Spring 2019,Spring,2019,USA,Colorado State University,Bachelor of Science,Mechanical Engineering
4,Spring 2019,Spring,2019,USA,Indiana Institute of Technology,Master of Science,Engineering Management
5,Spring 2019,Spring,2019,USA,"University of Texas, Arlington",Master of Science,Industrial Engineering
6,Spring 2019,Spring,2019,USA,"University of Texas, Arlington",Master of Science,Mechanical Engineering
7,Spring 2019,Spring,2019,USA,University of Texas at Dallas,Master of Science,Supply Chain Management
8,Spring 2019,Spring,2019,USA,University of Houston-Victoria,Master of Science,Computer Science
9,Spring 2019,Spring,2019,USA,University of New Haven,Master of Science,Engineering Management
10,Spring 2019,Spring,2019,USA,California Baptist University,Master of Science,Kinesiology
11,Spring 2019,Spring,2019,USA,University of Massachusetts Dartmouth,Master of Science,Computer Science
12,Spring 2019,Spring,2019,USA,New York University,Master of Science,Management of Technology
13,Spring 2019,Spring,2019,USA,New Jersey Institute of Technology,Master of Science,Civil Engineering
14,Spring 2019,Spring,2019,USA,New York Institute of Technology,Master of Science,Computer Science
15,Spring 2019,Spring,2019,USA,California State University Sacramento,Master of Science,Computer Science
16,Spring 2019,Spring,2019,USA,Rutgers University,Masters,Healthcare Administration
17,Spring 2019,Spring,2019,USA,Rutgers University,Masters,Healthcare Administration
18,Spring 2019,Spring,2019,USA,"University of Houston, Clear Lake",Master of Science,Computer Science
19,Spring 2019,Spring,2019,USA,Rutgers University,Master of Science,Information Technology
20,Spring 2019,Spring,2019,USA,City University of New York System,Masters,Public Health
21,Spring 2019,Spring,2019,USA,"California State University, Sacramento",Master of Science,Computer Science
22,Spring 2019,Spring,2019,USA,"University of Texas, Arlington",Master of Science,Finance
23,Spring 2019,Spring,2019,USA,State University of New York Polytechnic,Master of Science,Computer Information Science
24,Spring 2019,Spring,2019,USA,"University of Texas, Arlington",Master of Science,Electrical Engineering
25,Spring 2019,Spring,2019,USA,"Texas A&M University, Kingsville",Master of Science,Computer Science
26,Spring 2019,Spring,2019,USA,Valparaiso University,Master of Science,Cyber Security
27,Spring 2019,Spring,2019,USA,Illinois Institute of Technology,Master of Science,Mechanical Engineering
28,Spring 2019,Spring,2019,USA,Northeastern University,Master of Science,Engineering Management
29,Spring 2019,Spring,2019,USA,City University,Masters,Public Health
30,Spring 2019,Spring,2019,USA,Missouri University of Science and Technology,Master of Science,Civil Engineering
31,Spring 2019,Spring,2019,USA,Northeastern University,Master of Science,Cyber Security
32,Spring 2019,Spring,2019,USA,Academy of Art University,Masters,Architecture
33,Spring 2019,Spring,2019,USA,Northeastern University,Master of Science,Analytics
34,Spring 2019,Spring,2019,USA,University of New Haven,Master of Science,Industrial Engineering
35,Spring 2019,Spring,2019,USA,Missouri University of Science and Technology,Master of Science,Chemical Engineering
36,Spring 2019,Spring,2019,USA,Arizona State University,Master of Science,Computer Engineering
37,Spring 2019,Spring,2019,USA,Northeastern University,Master of Science,Biotechnology
38,Spring 2019,Spring,2019,USA,Florida Institute of Technology,Master of Science,Civil Engineering
39,Spring 2019,Spring,2019,USA,Northeastern University,Master of Science,Industrial Engineering
40,Spring 2019,Spring,2019,USA,San José State University,Master of Science,Electrical Engineering
41,Spring 2019,Spring,2019,USA,University of Cincinnati,Bachelor of Science,Biology
42,Spring 2019,Spring,2019,USA,Mount Sinai School of Medicine,Masters,Public Health
43,Spring 2019,Spring,2019,USA,Fairleigh Dickinson University,Masters,Public Administration
44,Spring 2019,Spring,2019,USA,Long Island University,MBA,Finance
45,Spring 2019,Spring,2019,USA,State University of New York Buffalo,Master of Science,Exercise Physiology
46,Spring 2019,Spring,2019,USA,"State University of New York, Stony Brook",Master of Science,Computer Science
47,Spring 2019,Spring,2019,USA,University of Texas at Dallas,Master of Science,Computer Science
48,Spring 2019,Spring,2019,USA,Stevens Institute of Technology,Master of Science,Business
49,Spring 2019,Spring,2019,USA,San José State University,Master of Science,Industrial Engineering
50,Spring 2019,Spring,2019,USA,"State University of New York, Binghamton",Master of Science,Biomedical Engineering
51,Spring 2019,Spring,2019,USA,"California State University, East Bay",Master of Science,Computer Science
52,Spring 2019,Spring,2019,USA,City University of New York - Brooklyn,Masters,Public Administration
53,Spring 2019,Spring,2019,USA,University of Texas at Dallas,Master of Science,Computer Science
54,Spring 2019,Spring,2019,USA,"California State University, Sacramento",Bachelor of Science,Computer Science
55,Spring 2019,Spring,2019,USA,Stevens Institute of Technology,Master of Science,Contraction Management
56,Spring 2019,Spring,2019,USA,San José State University,Master of Science,Electrical Engineering
57,Spring 2019,Spring,2019,USA,"California State University, Fullerton",Master of Science,Software Engineering
58,Spring 2019,Spring,2019,USA,Massachuetts College of Pharmacy & Health Sciences,Doctor,Pharmacy
59,Spring 2019,Spring,2019,USA,Northeastern University,Master of Science,Data Science
60,Spring 2019,Spring,2019,USA,Hofstra University,Masters,Healthcare Administration
61,Spring 2019,Spring,2019,USA,State University of New York Buffalo,Master of Science,Mechanical Engineering
62,Spring 2019,Spring,2019,USA,Wright State University,Bachelor of Science,Biology
63,Spring 2019,Spring,2019,USA,San José State University,Master of Science,Engineering Management
64,Spring 2019,Spring,2019,USA,New York Institute of Technology,MBA,Supply Chain Management
65,Spring 2019,Spring,2019,USA,University of New Haven,Master of Science,Computer Science
66,Spring 2019,Spring,2019,USA,"California State University, Sacramento",Bachelor of Science,Computer Science
67,Spring 2019,Spring,2019,USA,University of Memphis,Masters,Public Health
68,Spring 2019,Spring,2019,USA,"University of Texas, Arlington",Master of Science,Civil Engineering
69,Spring 2019,Spring,2019,USA,"University of Texas, Arlington",Master of Science,Industrial Engineering
70,Spring 2019,Spring,2019,USA,"University of Texas, Arlington",Master of Science,Civil Engineering
71,Spring 2019,Spring,2019,USA,"California State University, East Bay",Master of Science,Computer Science
72,Spring 2019,Spring,2019,USA,University of Wisconsin Milwaukee,Masters,Business Administration
73,Spring 2019,Spring,2019,USA,Rutgers University,Bachelor of Science,Computer Science
74,Spring 2019,Spring,2019,USA,Northeastern University,Master of Science,Industrial Engineering
75,Spring 2019,Spring,2019,USA,University of New Haven,Master of Science,Computer Science
76,Spring 2019,Spring,2019,USA,"California State University, Los Angeles",Master of Science,Computer Science
77,Spring 2019,Spring,2019,USA,"California State University, East Bay",Master of Science,Computer Science
78,Spring 2019,Spring,2019,USA,University of Georgia,Master of Science,Computer Science
79,Spring 2019,Spring,2019,Canada,University of Windsor ,ME,Mechanical Engineering-Automotive
80,Spring 2019,Spring,2019,Canada,University of Windsor,ME,Mechanical Engineering
81,Spring 2019,Spring,2019,Canada,University of Windsor,Master,Medical Biotechnology
82,Spring 2019,Spring,2019,Canada,Saint Mary's University,MS,Computing and Data Analytics
83,Spring 2019,Spring,2019,Canada,Carleton University,ME,Electrical and Computer Engineering
84,Spring 2019,Spring,2019,Canada,Dalhousie University,ME,Internetworking
85,Spring 2019,Spring,2019,Canada,University of Ottawa,ME,Mechanical Engineering 
86,Spring 2019,Spring,2019,Canada,University of Windsor,ME,Industrial Engineering
87,Spring 2019,Spring,2019,Canada,Mohawk College,Diploma,Office Administration - Health Services
88,Spring 2019,Spring,2019,Canada,University of Windsor,ME,Mechanical Engineering
89,Spring 2019,Spring,2019,Canada,University of Windsor,ME,Mechanical Engineering
90,Spring 2019,Spring,2019,Canada,Memorial University of Newfoundland,ME,Applied Science (Oil and Gas Engineering)
91,Spring 2019,Spring,2019,Canada,University of Windsor,Master,Applied Computing
92,Spring 2019,Spring,2019,Canada,Dalhousie University,ME,Internetworking
93,Spring 2019,Spring,2019,Canada,University of Windsor,Master,Management
94,Spring 2019,Spring,2019,Canada,Mohawk College,Diploma,Computer System Technician – Software Support 
95,Spring 2019,Spring,2019,Canada,University of Windsor,BSc,Computer Science
96,Spring 2019,Spring,2019,Canada,Mohawk College,Diploma,Graphic Design 
97,Spring 2019,Spring,2019,Canada,University of Windsor,ME,Mechanical Engineering
98,Spring 2019,Spring,2019,Canada,University of Western Ontario,ME,Civil and Environmental Engineering 
99,Spring 2019,Spring,2019,Canada,University of Windsor,BSc,Computer Science
100,Spring 2019,Spring,2019,Canada,Concordia University,ME,Civil Engineering
101,Spring 2019,Spring,2019,Canada,Fairleigh Dickinson University,MAS,Global Health & Human Services Administration
102,Spring 2019,Spring,2019,Canada,University of Calgary,ME,Chemical Engineering
103,Spring 2019,Spring,2019,Canada,Dalhousie University,ME,Internetworking
104,Spring 2019,Spring,2019,Canada,Brock University ,Bachelor,Public Health 
105,Spring 2019,Spring,2019,Canada,McMaster University ,ME,Manufacturing Engineering
106,Spring 2019,Spring,2019,Canada,McMaster University ,ME,Manufacturing Engineering
107,Spring 2019,Spring,2019,Canada,University of Windsor,ME,Mechanical Engineering-Automotive
108,Spring 2019,Spring,2019,Canada,Concordia University,ME,Electrical and Computer Engineering
109,Spring 2019,Spring,2019,Canada,Carleton University,ME,Mechanical Engineering
110,Spring 2019,Spring,2019,Canada,McMaster University ,ME,Mechanical Engineering-Automotive
111,Summer 2019,Summer,2019,Canada,Seneca College,Diploma,International Business
112,Summer 2019,Summer,2019,Canada,University of Waterloo,MEng,Electrical & Computer Engineering
113,Summer 2019,Summer,2019,Canada,Dalhousie University,MEng,Internetworking
114,Summer 2019,Summer,2019,Canada,Cambrian College,PG,Human Resources Management
115,Summer 2019,Summer,2019,Canada,Dalhousie University,MEng,Internetworking
116,Summer 2019,Summer,2019,Canada,Conestoga College,PG,Enterprise Content Management 
117,Summer 2019,Summer,2019,Canada,University of Windsor,MEng,Mechanical Engineering
118,Summer 2019,Summer,2019,Canada,University of Windsor,MEng,Mechanical Engineering
119,Summer 2019,Summer,2019,Canada,University of Windsor,MEng,Mechanical Engineering
120,Summer 2019,Summer,2019,Canada,University of Windsor,MEng,Mechanical Engineering
121,Summer 2019,Summer,2019,Canada,University of Windsor,MEng,Civil Engineering
122,Summer 2019,Summer,2019,Canada,Conestoga College,PG,Applied Manufacturing Management
123,Summer 2019,Summer,2019,Canada,University of Windsor,MEng,Electrical & Computer Engineering
124,Summer 2019,Summer,2019,Canada,Seneca College,Diploma,Business Administration
125,Summer 2019,Summer,2019,Canada,University of Windsor,MEng,Electrical & Computer Engineering
126,Summer 2019,Summer,2019,Canada,University of Windsor,MEng,Electrical & Computer Engineering
127,Summer 2019,Summer,2019,Canada,Fairleigh Dickinson University,MAS,Global Health and Human Services Administration
128,Summer 2019,Summer,2019,Canada,University of Winnipeg,PG,Project Management
129,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Electrical Engineering
130,Fall 2019,Fall,2019,USA,Stevens Institute of Technology,Master of Science,Computer Science
131,Fall 2019,Fall,2019,USA,University of Illinois at Chicago,Master of Science,Medical Biotechnology
132,Fall 2019,Fall,2019,USA,"University of Texas, Arlington",Master of Science,Computer Science
133,Fall 2019,Fall,2019,USA,Purdue University,Master of Science,Chemical Engineering
134,Fall 2019,Fall,2019,USA,Northeastern University,Master of Science,Energy Systems
135,Fall 2019,Fall,2019,USA,Stevens Institute of Technology,Master of Science,Management Information Systems
136,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Electrical Engineering
137,Fall 2019,Fall,2019,USA,Loyola Marymount University,Master of Science,Computer Science
138,Fall 2019,Fall,2019,USA,Long Island University,Master of Science,Exercise Physiology
139,Fall 2019,Fall,2019,USA,University of Wisconsin Milwaukee,Master of Science,Computer Science
140,Fall 2019,Fall,2019,USA,Pennsylvania State University System,Master of Science,Data Science
141,Fall 2019,Fall,2019,USA,"University of Maryland, College Park",Master of Engineering,Robotics
142,Fall 2019,Fall,2019,USA,Northeastern University,Master of Science,Computer Science
143,Fall 2019,Fall,2019,USA,Northeastern University,Master of Science,Computer Science
144,Fall 2019,Fall,2019,USA,University of Texas at Dallas,Master of Science,Information Technology Management
145,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Industrial Engineering
146,Fall 2019,Fall,2019,USA,State University of New York Buffalo,Master of Science,Computer Science
147,Fall 2019,Fall,2019,USA,Syracuse University,Master of Science,Data Science
148,Fall 2019,Fall,2019,USA,California Baptist University,Masters,Business Administration
149,Fall 2019,Fall,2019,USA,Emory University,Masters,Public Health
150,Fall 2019,Fall,2019,USA,Fairleigh Dickinson University,MBA,Finance
151,Fall 2019,Fall,2019,USA,University of Massachusetts Amherst,Bachelor of Science,Mechanical Engineering
152,Fall 2019,Fall,2019,USA,University of Wisconsin Medison,Bachelor of Engineering,Mechanical Engineering
153,Fall 2019,Fall,2019,USA,"University of California, Berkeley",Master of Science,Civil Engineering
154,Fall 2019,Fall,2019,USA,University of Toledo,Bachelor of Science,Pharmacy
155,Fall 2019,Fall,2019,USA,Arizona State University,Master of Science,Computer Science
156,Fall 2019,Fall,2019,USA,Northeastern University,Master of Science,Data Science
157,Fall 2019,Fall,2019,USA,North Carolina State University,Master of Science,Computer Science
158,Fall 2019,Fall,2019,USA,University of North Carolina Charlotte,Master of Science,Computer Science
159,Fall 2019,Fall,2019,USA,Arizona State University,Masters,Computer Science
160,Fall 2019,Fall,2019,USA,North Carolina State University,Master of Science,Computer Science
161,Fall 2019,Fall,2019,USA,"University of Texas, Arlington",Master of Science,Computer Science
162,Fall 2019,Fall,2019,USA,Arizona State University,Masters,Computer Science
163,Fall 2019,Fall,2019,USA,Indiana University-Bloomington,Master of Science,Computer Science
164,Fall 2019,Fall,2019,USA,Long Island University Brooklyn,Master of Science,Pharmacy
165,Fall 2019,Fall,2019,USA,University of Southern California,Master of Science,Computer Science
166,Fall 2019,Fall,2019,USA,Indiana University-Bloomington,Master of Science,Computer Science
167,Fall 2019,Fall,2019,USA,Texas State University,Master of Science,Computer Science
168,Fall 2019,Fall,2019,USA,University of Chicago,Bachelor of Science,Economics
169,Fall 2019,Fall,2019,USA,"California State University, Sacramento",Master of Science,Computer Science
170,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Software Engineering
171,Fall 2019,Fall,2019,USA,Northeastern University,Master of Science,Biotechnology
172,Fall 2019,Fall,2019,USA,Academy of Art University,Master of Arts,Visual Arts
173,Fall 2019,Fall,2019,USA,University of Southern California,Master of Science,Computer Science
174,Fall 2019,Fall,2019,USA,Drexel University,Master of Science,Electrical and Computer Engineering
175,Fall 2019,Fall,2019,USA,Loyola Marymount University,Master of Science,Computer Science
176,Fall 2019,Fall,2019,USA,Northeastern University,Master of Science,Data Science
177,Fall 2019,Fall,2019,USA,University of Massachusetts Amherst,Bachelor of Science,Chemical Engineering
178,Fall 2019,Fall,2019,USA,Northeastern University,Master of Science,Project Management
179,Fall 2019,Fall,2019,USA,Arizona State University,Master of Science,Chemical Engineering
180,Fall 2019,Fall,2019,USA,"California State University, East Bay",Master of Science,Construction Management
181,Fall 2019,Fall,2019,USA,University of South Carolina System,Doctor of Philosophy,Biological Science
182,Fall 2019,Fall,2019,USA,University of Wisconsin Medison,Bachelor of Science,Computer Science
183,Fall 2019,Fall,2019,USA,Georgia Institute of Technology,Master of Science,Computer Science
184,Fall 2019,Fall,2019,USA,University of Texas at Dallas,Master of Science,Computer Science
185,Fall 2019,Fall,2019,USA,University of Maryland Baltimore County,Master of Science,Computer Science
186,Fall 2019,Fall,2019,USA,University of Texas at Dallas,Master of Science,Mechanical Engineering
187,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Electrical & Electronics Engineering
188,Fall 2019,Fall,2019,USA,Wayne State University,Master of Science,Mechanical Engineering
189,Fall 2019,Fall,2019,USA,New Jersey Institute of Technology,Master of Science,Computer Science
190,Fall 2019,Fall,2019,USA,Indiana University-Bloomington,Master of Science,Information System
191,Fall 2019,Fall,2019,USA,Northeastern University,Master of Science,Biotechnology
192,Fall 2019,Fall,2019,USA,Rutgers University,Masters,Public Health
193,Fall 2019,Fall,2019,USA,West Chester University of Pennsylvania,Masters,Public Health
194,Fall 2019,Fall,2019,USA,Indiana University-Bloomington,Bachelor of Science,Business
195,Fall 2019,Fall,2019,USA,"University of Houston, Clear Lake",Master of Science,Computer Science
196,Fall 2019,Fall,2019,USA,Northeastern University,Master of Science,Engineering Management
197,Fall 2019,Fall,2019,USA,North Carolina State University,Master of Science,Architecture
198,Fall 2019,Fall,2019,USA,"University of Maryland, College Park",Master of Science,Information System
199,Fall 2019,Fall,2019,USA,Purdue University,Master of Science,Supply Chain Management
200,Fall 2019,Fall,2019,USA,Indiana University-Bloomington,Bachelors,Commerce
201,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Electrical Engineering
202,Fall 2019,Fall,2019,USA,North Carolina State University,Master of Science,Computer Science
203,Fall 2019,Fall,2019,USA,"University of Maryland, College Park",Master of Science,Cyber Security
204,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Software Engineering
205,Fall 2019,Fall,2019,USA,Indiana University-Bloomington,Master of Science,Information System
206,Fall 2019,Fall,2019,USA,Emory University,Bachelors,Liberal Arts
207,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Software Engineering
208,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Electrical Engineering
209,Fall 2019,Fall,2019,USA,Stevens Institute of Technology,Master of Science,Management Information Systems
210,Fall 2019,Fall,2019,USA,Santa Clara University,Master of Science,Mechanical Engineering
211,Fall 2019,Fall,2019,USA,George Washington University,Master of Science,Computer Science
212,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Software Engineering
213,Fall 2019,Fall,2019,USA,University of North Carolina Charlotte,Master of Science,Computer Science
214,Fall 2019,Fall,2019,USA,Purdue University,Master of Science,Chemical Engineering
215,Fall 2019,Fall,2019,USA,University of Utah,Master of Science,Mechanical Engineering
216,Fall 2019,Fall,2019,USA,Santa Clara University,Master of Science,Computer Science
217,Fall 2019,Fall,2019,USA,North Carolina State University,Masters,Computer Science
218,Fall 2019,Fall,2019,USA,"Texas A&M University, College Station",Master of Science,Mechanical Engineering
219,Fall 2019,Fall,2019,USA,Embry-Riddle Aeronautical University,Master of Science,Aerospace Engineering
220,Fall 2019,Fall,2019,USA,New York Institute of Technology,Masters,Business Administration
221,Fall 2019,Fall,2019,USA,New York Institute of Technology,Master of Arts,Computer Graphics
222,Fall 2019,Fall,2019,USA,Boston College,Masters,Finance
223,Fall 2019,Fall,2019,USA,Columbia University,Master of Science,Computer Science
224,Fall 2019,Fall,2019,USA,University of Southern California,Master of Science,Computer Science
225,Fall 2019,Fall,2019,USA,"University of Maryland, College Park",Master of Science,Management Information Systems
226,Fall 2019,Fall,2019,USA,"University of Maryland, College Park",Master of Science,Information System
227,Fall 2019,Fall,2019,USA,University of Massachusetts Dartmouth,Master of Science,Computer Science
228,Fall 2019,Fall,2019,USA,Virginia Polytechnic Institute and State University,Master of Science,Construction Management
229,Fall 2019,Fall,2019,USA,Northeastern University,Master of Science,Data Science
230,Fall 2019,Fall,2019,USA,"California State University, East Bay",Master of Science,Computer Science
231,Fall 2019,Fall,2019,USA,University of Memphis,Master of Science,Computer Science
232,Fall 2019,Fall,2019,USA,University of Florida,Master of Science,Computer Science
233,Fall 2019,Fall,2019,USA,Santa Clara University,Master of Science,Information System
234,Fall 2019,Fall,2019,USA,University of Central Florida,Master of Science,Computer Science
235,Fall 2019,Fall,2019,USA,"State University of New York, Stony Brook",Master of Science,Computer Science
236,Fall 2019,Fall,2019,USA,Babson College,Master of Science,Finance
237,Fall 2019,Fall,2019,USA,"Texas A&M University, College Station",Master of Science,Mechanical Engineering
238,Fall 2019,Fall,2019,USA,New York Institute of Technology,Master of Science,Mechanical Engineering
239,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Industrial Engineering
240,Fall 2019,Fall,2019,USA,City University of New York System,Master of Science,Finance
241,Fall 2019,Fall,2019,USA,University of Southern California,Master of Science,Data Science
242,Fall 2019,Fall,2019,USA,Northeastern University,Master of Science,Computer Science
243,Fall 2019,Fall,2019,USA,North Carolina State University,Master of Science,Computer Science
244,Fall 2019,Fall,2019,USA,New York Institute of Technology,Master of Science,Computer Science
245,Fall 2019,Fall,2019,USA,University of Cincinnati,Master of Science,Business Analytics
246,Fall 2019,Fall,2019,USA,"University of Maryland, College Park",Master of Engineering,Electrical & Computer Engineering
247,Fall 2019,Fall,2019,USA,Syracuse University,Master of Science,Computer Science
248,Fall 2019,Fall,2019,USA,North Carolina State University,Master of Science,Computer Science
249,Fall 2019,Fall,2019,USA,University of Texas Health Science Centre,Doctor of Philosophy,Biological Science
250,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Electrical & Electronics Engineering
251,Fall 2019,Fall,2019,USA,"University of Maryland, College Park",Master of Engineering,Robotics
252,Fall 2019,Fall,2019,USA,Hult International Business School,Master of Science,Finance
253,Fall 2019,Fall,2019,USA,"California State University, Long Beach",Master of Science,Computer Science
254,Fall 2019,Fall,2019,USA,Loyola Marymount University,Master of Science,Mechanical Engineering
255,Fall 2019,Fall,2019,USA,Illinois Institute of Technology,Master of Science,Computer Science
256,Fall 2019,Fall,2019,USA,Syracuse University,Master of Science,Applied Data Science
257,Fall 2019,Fall,2019,USA,Wright State University,Master of Science,Computer Science
258,Fall 2019,Fall,2019,USA,New Jersey Institute of Technology,Master of Science,Computer Science
259,Fall 2019,Fall,2019,USA,Northeastern University,Master of Science,Computer Science
260,Fall 2019,Fall,2019,USA,University of Southern California,Master of Science,Computer Science
261,Fall 2019,Fall,2019,USA,University of California Irvine,Master of Science,Engineering Management
262,Fall 2019,Fall,2019,USA,San Francisco State University,Master of Science,Computer Science
263,Fall 2019,Fall,2019,USA,University of Illinois at Chicago,Masters,Business Administration
264,Fall 2019,Fall,2019,USA,Northeastern University,Master of Science,Data Science
265,Fall 2019,Fall,2019,USA,North Carolina State University,Master of Science,Computer Science
266,Fall 2019,Fall,2019,USA,Purdue University,Master of Science,Chemical Engineering
267,Fall 2019,Fall,2019,USA,"California State University, Long Beach",Master of Science,Computer Science
268,Fall 2019,Fall,2019,USA,"University of Texas, Arlington",Master of Science,Mechanical Engineering
269,Fall 2019,Fall,2019,USA,Stevens Institute of Technology,Master of Science,Computer Engineering
270,Fall 2019,Fall,2019,USA,California Baptist University,Masters,Business Administration
271,Fall 2019,Fall,2019,USA,University of Texas at Dallas,Master of Science,Business Analytics
272,Fall 2019,Fall,2019,USA,University of Texas at Dallas,Master of Science,Computer Science
273,Fall 2019,Fall,2019,USA,"University of Texas, Arlington",Master of Science,Computer Science
274,Fall 2019,Fall,2019,USA,University of Texas at Dallas,Master of Science,Business Analytics
275,Fall 2019,Fall,2019,USA,Rochester Institute of Technology,Master of Science,Computer Science
276,Fall 2019,Fall,2019,USA,University of Texas at Dallas,Master of Science,Computer Science
277,Fall 2019,Fall,2019,USA,University of Florida,Master of Science,Computer Science
278,Fall 2019,Fall,2019,USA,University of North Carolina Charlotte,Master of Science,Computer Science
279,Fall 2019,Fall,2019,USA,Missouri University of Science and Technology,Master of Science,Psychology
280,Fall 2019,Fall,2019,USA,Arizona State University,Master of Science,Computer Science
281,Fall 2019,Fall,2019,USA,Emory University,Bachelor of Arts,Economics
282,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Software Engineering
283,Fall 2019,Fall,2019,USA,"University of Texas, Arlington",Bachelor of Science,Accounting
284,Fall 2019,Fall,2019,USA,Arizona State University,Master of Science,Industrial Engineering
285,Fall 2019,Fall,2019,USA,Arizona State University,Master of Science,Mechanical Engineering
286,Fall 2019,Fall,2019,USA,University of Illinois at Urbana–Champaign,Master of Engineering,Energy Systems
287,Fall 2019,Fall,2019,USA,Purdue University,Master of Science,Contraction Management
288,Fall 2019,Fall,2019,USA,"University of Maryland, College Park",Master of Science,Information System
289,Fall 2019,Fall,2019,USA,New York University,Master of Science,Construction Management
290,Fall 2019,Fall,2019,USA,Rutgers University,Masters,Analytics
291,Fall 2019,Fall,2019,USA,Purdue University,Bachelor of Science,Computer Science
292,Fall 2019,Fall,2019,USA,"Texas A&M University, College Station",Master of Science,Industrial Engineering
293,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Software Engineering
294,Fall 2019,Fall,2019,USA,Rutgers University,Master of Science,Industrial Engineering
295,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Software Engineering
296,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Mechanical Engineering
297,Fall 2019,Fall,2019,USA,San José State University,Master of Science,Mechanical Engineering
298,Fall 2019,Fall,2019,USA,University of Illinois at Chicago,Master of Science,Mechanical Engineering
299,Fall 2019,Fall,2019,USA,"University of Texas, Arlington",Master of Science,Computer Science
300,Fall 2019,Fall,2019,USA,Illinois Institute of Technology,Bachelor of Science,Chemical Engineering
301,Fall 2019,Fall,2019,USA,University of Texas at Dallas,Master of Science,Computer Science
302,Fall 2019,Fall,2019,USA,University of Texas at Dallas,Master of Science,Computer Science
303,Fall 2019,Fall,2019,USA,University of Southern California,Master of Science,Computer Science
304,Fall 2019,Fall,2019,USA,Northwestern University,Master of Science,Computer Science
305,Fall 2019,Fall,2019,USA,"University of Texas, Arlington",Master of Science,Construction Management
306,Fall 2019,Fall,2019,USA,Johns Hopkins University,Master of Science,Computer Science
307,Fall 2019,Fall,2019,USA,San José State University,Bachelor of Science,Software Engineering
308,Fall 2019,Fall,2019,USA,University of Texas at San Antonio,Masters,Architecture
309,Fall 2019,Fall,2019,USA,University of Massachusetts Lowell,Master of Science,Mechanical Engineering
310,Fall 2019,Fall,2019,USA,"State University of New York, Stony Brook",Master of Science,Mechanical Engineering
311,Fall 2019,Fall,2019,USA,University of Texas at Dallas,Master of Science,Computer Science
312,Fall 2019,Fall,2019,USA,State University of New York Buffalo,Master of Science,Industrial Engineering
313,Fall 2019,Fall,2019,USA,University of Wisconsin Milwaukee,Master of Science,Mechanical Engineering
314,Fall 2019,Fall,2019,USA,Loyola Marymount University,Master of Science,Systems Engineering
315,Fall 2019,Fall,2019,USA,University of Illinois at Chicago,Master of Science,Management Information Systems
316,Fall 2019,Fall,2019,USA,Northeastern University,Master of Science,Data Science
317,Fall 2019,Fall,2019,USA,University of Rochester,Master of Science,Mental Health Counselling
